rel_path,name,ext,size_bytes,mtime,category,doctype,lang_hint
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/8-2024 مؤشرات الأداء.pdf,8-2024 مؤشرات الأداء.pdf,.pdf,717612,2026-05-04T06:47:16,report_out,pdf,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/8-2024 مؤشرات الأداء.pptx,8-2024 مؤشرات الأداء.pptx,.pptx,932889,2026-05-04T06:47:16,report_out,unknown,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/9-2024 مؤشرات الأداء.pdf,9-2024 مؤشرات الأداء.pdf,.pdf,715630,2026-05-04T06:47:16,report_out,pdf,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/9-2024 مؤشرات الأداء.pptx,9-2024 مؤشرات الأداء.pptx,.pptx,933840,2026-05-04T06:47:16,report_out,unknown,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/4-2025 مؤشرات الأداء.pdf,4-2025 مؤشرات الأداء.pdf,.pdf,725656,2026-05-04T06:47:15,report_out,pdf,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/4-2025 مؤشرات الأداء.pptx,4-2025 مؤشرات الأداء.pptx,.pptx,933320,2026-05-04T06:47:15,report_out,unknown,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/7-2025 مؤشرات الأداء.pdf,7-2025 مؤشرات الأداء.pdf,.pdf,721902,2026-05-04T06:47:15,report_out,pdf,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/7-2025 مؤشرات الأداء.pptx,7-2025 مؤشرات الأداء.pptx,.pptx,932564,2026-05-04T06:47:15,report_out,unknown,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/8-2025 مؤشرات الأداء.pdf,8-2025 مؤشرات الأداء.pdf,.pdf,722760,2026-05-04T06:47:15,report_out,pdf,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/8-2025 مؤشرات الأداء.pptx,8-2025 مؤشرات الأداء.pptx,.pptx,933308,2026-05-04T06:47:15,report_out,unknown,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/9-2025 مؤشرات الأداء.pdf,9-2025 مؤشرات الأداء.pdf,.pdf,723353,2026-05-04T06:47:15,report_out,pdf,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/9-2025 مؤشرات الأداء.pptx,9-2025 مؤشرات الأداء.pptx,.pptx,933524,2026-05-04T06:47:15,report_out,unknown,ar
09_REPORTS_OUT/تقارير الاستشاري/Monthly/Thumbs.db,Thumbs.db,.db,26112,2026-05-04T06:47:15,report_out,unknown,en
09_REPORTS_OUT/تقارير الاستشاري/Monthly/~$11-2024 مؤشرات الأداء.pptx,~$11-2024 مؤشرات الأداء.pptx,.pptx,165,2026-05-04T06:47:15,report_out,unknown,ar
09_REPORTS_OUT/تقارير الاستشاري/Thumbs.db,Thumbs.db,.db,17408,2026-05-04T06:47:15,report_out,unknown,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/10 - Weekly Status Report 27 Jan-1 Feb 2024.docx,10 - Weekly Status Report 27 Jan-1 Feb 2024.docx,.docx,143145,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/10 - Weekly Status Report 27 Jan-1 Feb 2024.pdf,10 - Weekly Status Report 27 Jan-1 Feb 2024.pdf,.pdf,274268,2026-05-04T06:47:16,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/6 - Weekly Status Report 30 Dec - 04 Jan-2024.docx,6 - Weekly Status Report 30 Dec - 04 Jan-2024.docx,.docx,147392,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/6 - Weekly Status Report 30 Dec - 04 Jan-2024.pdf,6 - Weekly Status Report 30 Dec - 04 Jan-2024.pdf,.pdf,292975,2026-05-04T06:47:16,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/7 - Weekly Status Report 06-11 Jan-2024.docx,7 - Weekly Status Report 06-11 Jan-2024.docx,.docx,147467,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/7 - Weekly Status Report 06-11 Jan-2024.pdf,7 - Weekly Status Report 06-11 Jan-2024.pdf,.pdf,290415,2026-05-04T06:47:16,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/8 - Weekly Status Report 013-18 Jan-2024.docx,8 - Weekly Status Report 013-18 Jan-2024.docx,.docx,147613,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/8 - Weekly Status Report 013-18 Jan-2024.pdf,8 - Weekly Status Report 013-18 Jan-2024.pdf,.pdf,290954,2026-05-04T06:47:16,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/8 - Weekly Status Report 20-25 Jan-2024.docx,8 - Weekly Status Report 20-25 Jan-2024.docx,.docx,147779,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/9 - Weekly Status Report 20-25 Jan-2024.docx,9 - Weekly Status Report 20-25 Jan-2024.docx,.docx,145873,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/01-2024/9 - Weekly Status Report 20-25 Jan-2024.pdf,9 - Weekly Status Report 20-25 Jan-2024.pdf,.pdf,275397,2026-05-04T06:47:16,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/02-2024/11 - Weekly Status Report 03 - 08 Feb 2024.docx,11 - Weekly Status Report 03 - 08 Feb 2024.docx,.docx,143812,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/02-2024/11 - Weekly Status Report 03 - 08 Feb 2024.pdf,11 - Weekly Status Report 03 - 08 Feb 2024.pdf,.pdf,278277,2026-05-04T06:47:16,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/02-2024/12 - Weekly Status Report 10 - 15 Feb 2024.docx,12 - Weekly Status Report 10 - 15 Feb 2024.docx,.docx,142877,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/02-2024/12 - Weekly Status Report 10 - 15 Feb 2024.pdf,12 - Weekly Status Report 10 - 15 Feb 2024.pdf,.pdf,276444,2026-05-04T06:47:16,report_out,pdf,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/02-2024/13 - Weekly Status Report 17 - 21 Feb 2024.docx,13 - Weekly Status Report 17 - 21 Feb 2024.docx,.docx,143864,2026-05-04T06:47:16,report_out,docx,en
09_REPORTS_OUT/تقارير الاستشاري/Weekly Reports/02-2024/13 - Weekly Status Report 17 - 21 Feb 2024.pdf,13 - Weekly Status Report 17 - 21 Feb 2024.pdf,.pdf,279595,2026-05-04T06:47:16,report_out,pdf,en
