contract_no,item_no,description_ar,unit,contractual_qty,unit_price,cumulative_qty,cumulative_pct,cumulative_amount,remaining_qty,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,11,تجديد وترميم ودهان وتلميع البوابات الحديدية الرئيسية في المدخل الغربي )مدخل الوزير( والبوابة الرئيسية في المدخل الشمالي )مدخل الموظفين( وتشمل الأعمال ما يلي:تجديد وترميم أبواب الحديد، سنفرة الأبواب، عمل طبقة تأسيس ناري للأبواب، تعشيقة الأبواب مع تلميع الزخرفة، دهان وتلميع الأجزاء نهاية الزخرفة بمواد أيبوكسي + دهان ماء الذهب المركز للأطراف الخارجية + تلميع خارجي بمادة البوليريثان، المحافظة على نظافة المكان وإزالة المخلفات. حسب الاصول الفنيه وتعليمات المهندس المشرف,,2.0,,,,,,الملخص التراكمي,13,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,12,توريد وتركيب اسقف شبكة حديد مش )طلاء بودرة بالفرن لون اسود( سماكة 2 ملم مع تيوب حديد ابعاد 4*8 سم وسماكة 3ملم  ، مثبتة بنظام تعليق متصلة بالسقف الخرساني حسب الرسومات والمناظير وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-G.F-AR-200,,27.0,,,,,,الملخص التراكمي,14,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,13,توريد وتركيب اسقف شبكة حديد مش )طلاء بودرة بالفرن لون ابيض(سماكة 2 ملم مع تيوب حديد ابعاد 4*8 سم وسماكة 3ملم  ، مثبتة بنظام تعليق متصلة بالسقف الخرساني حسب الرسومات والمناظير وتعليمات المهندس المشرفRef drawing: 07-MRA-DD-G.F-AR-200,,101.0,,,,,,الملخص التراكمي,15,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,14,توريد وتركيب تيوبات حديد ابعاد 4*4 سم وسماكة 2ملم مع أرفف فوق الكاونتر في منطقة المطبخ. )طلاء بودرة بالفرن لون اسود(مقاس: طول 4400 ملم، ارتفاع 2000 ملم و عرض 600 ملم,,1.0,,,,,,الملخص التراكمي,16,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,15,توريد وتركيب تيوبات حديد ابعاد 4*4 سم وسماكة 2ملم مع أرفف فوق الكاونتر في منطقة المطبخ. )طلاء بودرة بالفرن لون اسود(مقاس: طول 3100 ملم، ارتفاع 2000 ملم و عرض 600 ملم,,1.0,,,,,,الملخص التراكمي,17,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,16,توريد وتركيب تيوب حدبد مربع مقاس 30ملم* 30ملم سماكة 2 ملم كإيطار للوحات )طلاء بودرة بالفرن لون اسود( مقاس 3050x1250 ممRef drawing: 07-MRA-DD-G.F-AR-607.L,,4.0,,,,,,الملخص التراكمي,18,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,17,توريد وتركيب كشك من هيكل حديدي متكون من تيوبات 10*10-مم وسماكة 6مم مع مع صاج مفرّغ بالليزرعلى شكل مثلثات مدهون بطلاء بني معتق ويشمل إضاءة مخفية حسب التصميم والرسومات  مقاس 5300x3400 مم وارتفاع 3000 مم.Ref drawing: 07-MRA-DD-G.F-AR-902,,1.0,,,,,,الملخص التراكمي,19,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,18,خزانة مفتوحة مصنوعة من تيوبات حديد 20X20 ملم وسماكة 2 ملم )طلاء بودرة بالفرن لون اسود( مع أرفف من خشب ال mdf مع قشرة السنديان حسب التصميم والرسومات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-G.F-AR-607.C عرضx 400mm ارتفاع x 2600mm طول 13350mm,,1.0,,,,,,الملخص التراكمي,20,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,19,توريد وتركيب هيكل حديدي تيوبات 20*100 مم وسماكة 2مم مثبت بالسقف والأرض مع شبكة حديد مش )طلاء بودرة بالفرن لون اسود( يشمل هيكل حديدي للمقاعد إضافة الى القماش اللازم ،  حسب الرسومات والمناظير وتعليمات المهندس المشرف.مقاس      Ref drawing: 07-MRA-DD-G.F-AR-607.B: طول 4300 ملم، ارتفاع 2400 ملم و عرض 1800 ملم,,1.0,,,,,,الملخص التراكمي,21,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,20,توريد وتركيب هيكل حديدي تيوبات 20*100 مم وسماكة 2مم مثبت بالسقف والأرض مع شبكة حديد مش )طلاء بودرة بالفرن لون اسود( يشمل هيكل حديدي للمقاعد إضافة الى القماش اللازم ،  حسب الرسومات والمناظير وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-G.F-AR-607.Bمقاس: طول 3100 ملم، ارتفاع 2400 ملم و عرض 1800 ملم,,1.0,,,,,,الملخص التراكمي,22,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
